taxonomyId	sequenceId	superkingdomId	phylumId	classId	orderId	familyId	genusId	speciesId	taxonomyName	superkingdomName	phylumName	className	orderName	familyName	genusName	speciesName
1	901	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	902	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	903	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	904	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	905	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	906	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	907	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	908	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	909	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	910	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	911	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	912	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	913	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	914	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	915	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	916	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	917	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	918	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	919	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	920	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	921	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	922	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	923	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
1	924	NA	NA	NA	NA	NA	NA	NA	root	NA	NA	NA	NA	NA	NA	NA
